model,samples,train time,test time
EllipticEnvelope,60,0.06522363611,0.0002223104239
EllipticEnvelope,209,0.3713789135,0.000672377646
EllipticEnvelope,213,0.3615831472,0.0007083620876
EllipticEnvelope,219,0.302780373,0.0009024124593
EllipticEnvelope,220,0.3915951364,0.0008676145226
EllipticEnvelope,224,0.2973932792,0.001013576984
EllipticEnvelope,230,0.4002738558,0.0008715316653
EllipticEnvelope,240,0.3838482443,0.001139773056
EllipticEnvelope,245,0.3829487432,0.0009919274598
EllipticEnvelope,247,0.4202093203,0.0007820650935
EllipticEnvelope,264,0.4502378907,0.0007465947419
EllipticEnvelope,267,0.387684552,0.001328540966
EllipticEnvelope,280,0.4884883035,0.001004641876
EllipticEnvelope,320,0.5363853164,0.001301871613
EllipticEnvelope,360,0.5498902705,0.0004890952259
EllipticEnvelope,391,0.528449066,0.0009621158242
EllipticEnvelope,1254,9.935276171,0.0009370520711
EllipticEnvelope,1278,9.076394385,0.0009139478207
EllipticEnvelope,1314,8.936399447,0.001118132845
EllipticEnvelope,1320,9.160849104,0.0009986609221
EllipticEnvelope,1344,8.474090224,0.001282028854
EllipticEnvelope,1380,7.24950915,0.001015797257
EllipticEnvelope,1440,9.919286434,0.00124440901
EllipticEnvelope,1470,7.493987223,0.001064270735
EllipticEnvelope,1482,8.287223816,0.0007585976273
EllipticEnvelope,1584,13.7482772,0.0007446147501
EllipticEnvelope,1602,8.216479937,0.001388734207
EllipticEnvelope,1680,8.135683613,0.001014977694
EllipticEnvelope,1920,15.84825828,0.001349477097
EllipticEnvelope,2346,10.7989621,0.001001015306
IsolationForest,60,0.2158357572,0.6947177378
IsolationForest,209,0.2739934729,1.369211352
IsolationForest,213,0.227477265,1.641256896
IsolationForest,219,0.2281197004,2.137213938
IsolationForest,220,0.2278627691,1.878366714
IsolationForest,224,0.2293876837,2.411735655
IsolationForest,230,0.2294693268,1.90609507
IsolationForest,240,0.2299216523,2.426703632
IsolationForest,245,0.2299880844,1.994813536
IsolationForest,247,0.2290952594,1.301369536
IsolationForest,264,0.2339308211,1.286195924
IsolationForest,267,0.2339846358,2.696051658
IsolationForest,280,0.2333690489,1.910514139
IsolationForest,320,0.2360983989,2.561123099
IsolationForest,360,0.2414586062,0.6957021211
IsolationForest,391,0.2382829374,1.782284248
IsolationForest,1254,0.3113562751,1.370135603
IsolationForest,1278,0.2665733844,1.629172482
IsolationForest,1314,0.2692939808,2.127865817
IsolationForest,1320,0.2657421294,1.855635786
IsolationForest,1344,0.2673495122,2.401903422
IsolationForest,1380,0.2693026744,1.907540864
IsolationForest,1440,0.2713096985,2.418795742
IsolationForest,1470,0.2738387004,2.056059825
IsolationForest,1482,0.2740874075,1.333821882
IsolationForest,1584,0.2799286776,1.335557304
IsolationForest,1602,0.2792095562,2.818468038
IsolationForest,1680,0.2811270662,1.995442205
IsolationForest,1920,0.2886131912,2.707969304
IsolationForest,2346,0.3016639932,1.88395424
KernelDensity,60,0.04175915848,0.2837794345
KernelDensity,209,0.596113919,1.793690264
KernelDensity,213,0.6055882865,2.065429929
KernelDensity,219,0.6232894262,2.857784284
