object_name,feature_extraction_model_name,feature_extraction_initialization,augmented,feature_extraction_layer,feature_extraction_shape,model_name,hyperparameter,auroc,train_time,test_inference_time
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},1.0,0.6186637878417969,0.21760940551757812
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},1.0,0.6249904632568359,0.21070599555969238
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},1.0,0.6045804023742676,0.19942736625671387
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},1.0,0.6158242225646973,0.1990189552307129
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 16},1.0,0.6243758201599121,0.19792699813842773
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 20},1.0,0.5893192291259766,0.2367992401123047
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 24},1.0,0.6188006401062012,0.20823907852172852
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 28},1.0,0.628603458404541,0.19488763809204102
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 32},1.0,0.6235611438751221,0.19374895095825195
bottle,resnet18,imagenet1k_v1,True,layer4,"[1254, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 40},1.0,0.6011359691619873,0.21113348007202148
cable,resnet18,imagenet1k_v1,True,layer3,"[1344, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9422788605697152,1.4419910907745361,0.4350872039794922
cable,resnet18,imagenet1k_v1,False,layer3,"[224, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9422788605697152,0.31849217414855957,0.3115880489349365
cable,resnet18,imagenet1k_v1,True,layer4,"[1344, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9377811094452774,0.7331035137176514,0.22934269905090332
cable,resnet18,imagenet1k_v1,False,layer4,"[224, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.9375937031484257,0.15628480911254883,0.1812751293182373
